,sk에너지,sk인천석유화학,가동,가속,가시,가야,가자,가중,가치,간의,강화,개념,개발,개선,거스너,거시,건설,검증,검토,격려,결과,결실,결정,결합,경계,경영,경쟁,경쟁력,경제,경청,경험,계기,계속,계열,계층,계획,고객,고민,고부,고유,고정,공감,공급,공유,공장,공통,공헌,과거,과단,과정,과제,관계,관련,관심,관점,관행,구조,구체,구축,구축함,구호,국내,국내외,궁극,규모,규제,균형,그린,그림,극대,극복,근본,글로벌,금리,급변,급속,긍정,기간,기대,기반,기본,기술,기억,기업,기업가,기운,기조,기존,기지,기틀,기회,기후,난방,날개,남중국해,내부,노력,노사,능력,다각,다각도,다변,다음,단계,단어,달라,달성,대내외,대비,대상,대신,대양,대응,대중,대한민국,대항,덕분,도모,도약,도입,도전,돌파,동력,동반,동시,동참,둔화,뒷받침,디지털,로브,리더,리더십,리스크,마련,마진,마케팅,만전,말씀,모니터링,모델,모빌리티,모습,모티브,목표,무역,무장,무재,무한,무형,문제,문화,물량,미국,미래,미세먼지,민간,밀접,바다,바람,바이오,바탕,박차,반대,반세기,발걸음,발견,발굴,발생,발전,발판,발현,방식,방안,방어,방역,방향,방향성,배출,배터리,밸런스,범위,베트남,변동,변화,보급,보유,복원,본원,부문,부분,부상,부정,부채,부탁,북미,분수령,분야,분쟁,불안정,불확실성,블루,비난,비상,비전,비즈니스,빌딩,사고방식,사업,사업장,사용,사전,사항,사회,사회적,산업,상당,상생,상쇄,상승세,상업,상하,상황,생각,생산,생존,생태계,서로,서비스,서울,석유,석유화학,선도,선언문,선임,선점,선제,선택,설명,설비,설정,성공,성과,성능,성원,성장,세계,세상,소감,소재,소통,속도,속도감,솔선수범,수립,수반,수소,수요,수용,수익,수주,수준,수질,수평,수행,순간,순응,순환,스토리,시간,시기,시나리오,시너지,시대,시도,시설,시야,시일,시작,시장,시점,시프트,시현,신규,신기술,신념,신뢰,신설,신용등급,신임,신흥,실적,실질,실천,실패,실행,실행력,실험,실현,심해,심화,아래,아쉬움,아시아,아이디어,안전,안전문,안정,애자,약세,어려움,어제오늘,언급,업계,업그레이드,에너지,여부,여정,역경,역내,역대,역량,역할,연계,열원,열정,영광,영업,영역,영토,영향,예상,예정,예측,오션,오염,온난화,올레,옵션,완성,완수,외부,요구,요소,용인,우선순위,우수,우호,운영,울산,원가,원년,원유,원활,위기,위협,유가,유럽,유연성,유지,육성,윤리,윤활유,의견,의무,의미,의식,의욕,의지,이메일,이상,이슈,이야기,이제,이해,이해관계자,이후,인공지능,인내,인사,인사이트,인상,인수,인정,인터내셔널,인프라,인해,일류,자리매김,자발,자산,자세,자신,자율,자체,잠재력,장려,재구성,재무,저감,저력,적극,적시,전기,전기자동차,전달,전략,전망,전면,전반,전사,전쟁,전체,전환,접근,접지,정리,정면,정부,정세,정제,정착,정책,정치,제가,제고,제공,제도,제로,제시,제조,제품,제휴,조성,조심,조원,조직,존경,존속,종합,주도,주력,주문,주역,주유소,주인,주주,주행,준비,중국,중동,중심,중장기,중점,증가,지구,지금,지배,지속,지속성,지역,지위,지적,지정학,지체,지향,지형,직면,직시,진심,진입,진전,진정,진출,진행,집중,집합,차별,차원,차질,참여,창사,창의,창출,책임,체계,체인지,초점,총괄,총력,총체,최고,최대,최선,최초,추가,추구,추진,출발,출발선,출범,출시,취임,치명,친환경,침체,캠페인,커뮤니케이션,코끼리,코로나,코리아,탄소,탈피,탐색,토대,토양,통합,투자,트럼프,트레이딩,파도,파악,파이낸셜,파트너,판매,판매처,패권,패기,패러다임,평가,폐기,포괄,포리오,포트,포트폴리오,폭풍,풍요,프로그램,프로젝트,플라스틱,플러스,필요,하락,하반기,한계,한국,항해,해결,해지,핵심,행동,행사,향상,허세,헌신,혁명,혁신,현재,협력,협업,형태,홍보,화학,화해,확대,확보,확산,확신,확장,환경,환율,활동,활용,황금,회복,회사,획기적,효율,흐름,흑자
패기,2,2,0,12,11,0,2,1,26,0,14,1,2,3,0,2,0,0,0,0,0,0,0,2,2,17,1,11,4,0,1,0,2,24,0,1,0,3,2,2,2,0,7,4,2,2,2,1,0,5,0,1,4,2,3,1,7,4,6,2,0,0,2,0,2,0,0,4,0,4,12,6,8,0,6,0,2,2,2,10,0,4,0,24,2,2,0,3,6,0,5,2,2,4,2,0,14,1,2,0,0,0,4,2,4,0,2,0,1,2,2,1,2,2,0,0,4,2,3,2,4,4,2,0,4,2,0,0,0,2,2,2,0,2,0,0,0,0,0,2,0,2,0,3,2,2,0,0,1,20,15,2,5,11,2,0,2,1,2,0,2,1,2,0,3,2,4,2,0,2,1,14,4,2,2,5,3,2,4,4,1,2,3,16,0,2,2,1,0,0,1,4,0,1,2,0,0,2,0,9,1,0,4,0,2,0,0,50,0,4,0,2,17,0,3,0,3,2,2,0,0,6,6,12,6,3,0,2,0,6,2,2,0,0,1,0,2,0,0,2,6,26,2,0,35,2,0,0,10,4,1,2,1,3,2,0,3,0,0,4,2,4,0,2,0,2,3,2,2,0,0,2,0,1,0,1,2,6,17,1,1,2,2,0,0,2,2,1,0,0,1,0,0,1,23,6,0,0,0,2,0,0,2,2,0,0,6,0,0,0,2,0,0,0,6,0,2,0,2,1,9,2,4,2,5,0,0,2,2,10,2,6,0,1,4,2,0,2,2,0,4,2,2,0,0,1,0,2,2,2,2,2,2,2,2,2,6,4,4,2,0,6,2,0,2,0,2,6,2,4,2,2,1,0,7,2,0,0,0,0,0,2,2,2,3,1,2,4,3,9,0,2,2,1,0,0,1,3,2,0,12,0,0,4,0,4,2,6,0,4,0,2,3,0,2,2,4,0,1,0,7,0,0,2,3,0,2,2,0,2,2,2,2,0,0,15,0,0,2,4,0,0,2,2,0,0,2,0,7,1,19,0,2,3,4,0,2,32,0,4,2,0,0,2,1,1,6,2,2,0,2,0,0,4,8,2,0,3,1,0,1,1,19,0,10,2,0,22,1,4,3,1,0,0,6,2,22,2,1,0,2,0,2,16,0,2,0,0,8,0,2,1,2,0,4,1,2,0,2,1,0,2,3,0,0,0,0,1,3,2,2,0,0,0,1,2,1,0,8,2,2,4,2,2,2,0,12,0,0,0,0,0,0,2,0,32,3,4,4,2,0,14,5,10,12,0,2,12,38,2,8,0,2,0,10,1,8,1,0
패러다임,0,0,1,4,3,0,0,1,8,0,5,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4,1,4,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,4,0,0,0,1,0,1,0,1,0,0,1,1,2,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,2,0,0,0,3,0,0,1,0,7,0,0,1,3,0,0,2,0,0,0,0,0,3,1,0,2,1,0,0,0,0,0,2,0,1,0,0,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,8,0,1,7,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,4,1,0,0,1,1,0,0,0,1,0,1,5,0,0,0,1,1,0,1,0,0,1,0,2,1,0,0,1,1,0,0,0,0,0,0,14,1,0,0,0,6,0,5,1,1,0,0,2,1,1,0,1,0,2,1,0,0,0,2,0,0,0,1,1,0,1,0,0,1,9,0,0,5,0,0,0,0,4,2,0,1,1,0,0,1,1,1,0,3,0,1,0,0,0,1,0,1,0,0,0,1,2,1,1,0,0,6,1,1,0,2,0,0,0,0,1,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,1,6,1,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,3,1,2,0,1,3,1,0,1,1,0,2,1,1,0,0,3,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,1,0,1,1,3,0,0,1,0,0,1,3,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,1,1,0,1,1,7,0,0,2,0,0,1,0,1,1,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,10,1,0,1,0,0,4,1,1,1,1,0,2,5,0,0,0,0,1,6,1,2,1,0
평가,0,0,0,5,5,0,1,1,15,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,5,1,2,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,4,0,0,0,1,0,1,0,1,1,0,1,1,4,1,0,0,0,0,1,0,0,0,0,2,0,0,3,3,6,0,2,0,1,0,2,2,0,2,0,14,1,0,0,1,1,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,2,0,1,1,1,1,1,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,6,9,0,1,5,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,6,1,1,1,2,1,0,2,2,1,0,1,6,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,12,0,0,0,0,6,0,3,0,1,1,1,0,0,3,1,2,3,1,0,0,0,2,1,1,0,0,1,0,0,0,0,1,0,11,0,0,7,1,0,0,3,2,1,1,1,2,0,0,1,0,0,0,2,0,0,1,0,1,2,1,1,0,0,0,0,1,0,1,1,2,7,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,1,4,1,2,0,1,0,0,0,0,4,1,6,0,1,0,0,0,0,1,0,3,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,2,1,0,0,0,1,3,1,1,0,0,1,0,3,1,0,0,0,0,0,0,1,0,3,1,2,1,2,5,0,1,0,1,0,0,1,2,0,0,4,0,0,0,0,1,0,3,0,1,0,1,1,0,0,0,2,0,1,0,3,0,0,0,2,0,0,1,0,1,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,1,8,0,0,1,1,0,1,7,0,0,0,0,0,1,1,1,3,1,0,0,0,0,0,0,4,1,0,1,1,0,1,1,9,0,0,2,0,10,1,2,2,1,0,0,1,1,3,1,1,0,0,0,1,7,0,0,0,0,4,0,0,1,0,0,0,1,1,0,0,1,0,1,2,0,0,0,3,1,0,1,0,0,0,0,1,0,1,0,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,12,1,1,1,0,0,6,1,2,2,0,0,1,9,0,0,0,0,0,5,1,2,1,0
폐기,0,0,0,1,2,0,1,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,2,0,0,3,3,2,0,0,0,1,0,0,2,0,2,0,8,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,1,1,1,1,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,0,0,1,1,0,0,3,1,2,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,3,0,0,6,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,3,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,2,1,0,0,0,1,3,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,3,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,1,5,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,10,0,2,1,0,0,0,1,1,1,1,0,0,0,0,1,7,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,1,0,0,4,0,2,2,0,0,1,7,0,0,0,0,0,1,0,0,0,0
포괄,1,1,0,3,2,0,0,0,2,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5,0,4,1,0,0,0,1,11,0,0,0,1,1,1,1,0,3,0,1,1,1,0,0,2,0,0,1,1,1,0,0,1,3,1,0,0,0,0,1,0,0,0,0,2,3,0,0,0,2,0,0,1,0,3,0,0,0,1,0,1,0,1,2,0,2,1,1,2,1,0,5,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,1,1,2,2,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,3,1,0,0,1,1,1,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,2,0,0,0,0,15,0,2,0,1,5,0,0,0,1,0,0,0,0,0,2,4,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,6,1,0,11,0,0,0,2,1,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,1,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,1,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,3,2,2,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,2,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,7,0,0,1,0,0,0,0,1,0,0,1,0,3,0,3,0,1,1,1,0,0,10,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,1,0,0,0,0,3,0,5,0,0,1,0,0,0,0,0,0,2,0,9,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,1,0,5,0,0,0,0,0,0,1,0,8,1,1,1,1,0,2,2,3,4,0,1,5,11,1,4,0,1,0,2,0,3,0,0
포리오,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
포트,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
포트폴리오,0,0,0,1,0,1,0,0,1,0,5,0,1,0,0,0,0,1,1,1,3,3,3,0,0,10,0,7,3,1,0,1,0,1,1,0,8,0,0,0,0,3,3,3,0,0,0,0,0,0,10,0,0,0,1,0,1,0,5,0,0,3,0,1,3,3,1,0,0,0,4,1,4,0,0,1,3,0,0,0,0,2,0,6,0,0,4,1,0,3,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,8,0,3,1,0,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0,1,3,0,0,3,0,0,0,0,3,0,1,1,0,0,0,0,0,3,0,0,5,0,3,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,9,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,6,3,1,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,4,0,0,3,0,4,0,3,0,3,4,5,0,0,14,3,3,3,0,5,0,0,0,0,0,3,0,1,0,0,0,0,1,0,3,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,5,0,3,0,0,0,6,0,0,0,1,1,7,0,0,0,3,0,4,0,0,0,3,0,3,1,0,3,0,0,0,0,9,3,0,1,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,3,0,2,0,3,1,0,1,0,0,0,0,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,6,0,3,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,3,1,0,0,0,3,0,0,1,3,1,0,0,0,1,0,0,1,0,3,0,7,0,3,0,1,1,0,3,0,0,0,0,0,0,3,1,1,3,0,0,0,0,1,0,0,2,3,0,0,0,1,0,0,0,0,0,3,0,3,1,0,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,0,3,0,0,0,0,1,0,3,6,0,0,0,3,0,1,9,0,0,1,0,0,2,0,1,1,4,0,9,6,0,0,0,0,0,12,0,0,0,0
폭풍,0,0,0,4,3,0,0,1,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,4,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,5,0,1,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,4,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,5,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,1,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,2,0,1,3,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,1,5,0,0,2,0,0,1,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,4,1,2,1,0
풍요,1,1,0,3,2,0,0,0,2,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5,0,4,1,0,0,0,1,11,0,0,0,1,1,1,1,0,3,0,1,1,1,0,0,2,0,0,1,1,1,0,0,1,3,1,0,0,0,0,1,0,0,0,0,2,3,0,0,0,2,0,0,1,0,3,0,0,0,1,0,1,0,1,2,0,2,1,1,2,1,0,5,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,1,1,2,2,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,3,1,0,0,1,1,1,0,0,0,1,1,3,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,2,0,0,0,0,15,0,2,0,1,5,0,0,0,1,0,0,0,0,0,2,4,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,6,1,0,11,0,0,0,2,1,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,1,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,1,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,3,2,2,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,2,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,7,0,0,1,0,0,0,0,1,0,0,1,0,3,0,3,0,1,1,1,0,0,10,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,1,0,0,0,0,3,0,5,0,0,1,0,0,0,0,0,0,2,0,9,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,5,0,0,0,0,0,0,1,0,8,1,1,1,1,0,2,2,3,4,0,1,5,11,1,4,0,1,0,2,0,3,0,0
